Gene "ID_REF"	"GSM243346"	"GSM243347"	"GSM243348"	"GSM243349"	"GSM243350"	"GSM243351"
20775 "1415993_at"	901.7	929.7	829.3	735.7	647.2	735.5
13106 "1415994_at"	2.6	8.4	12.5	4.2	2.9	4.3
12368 "1415995_at"	459.3	445.5	440.3	480.8	511.1	604
56338 "1415996_at"	428.9	468.6	514.2	489.6	589	551.6
56338 "1415997_at"	193.6	150.8	161.8	140.4	267.9	205.7
22333 "1415998_at"	1744.8	1430.3	1437.1	1460.8	1393.6	1454.5
15213 "1415999_at"	315.7	404.7	386	244.5	171.2	232.5
18477 "1416000_a_at"	4349	4913.4	4595.8	4666	4644.7	4836.1
72042 "1416001_a_at"	223.5	222.8	186.5	168.4	194.9	254.5
72042 "1416002_x_at"	281.2	161.2	160.3	182.3	208.8	172.6
18417 "1416003_at"	129.4	101	103.6	135	138.3	97.8
22629 "1416004_at"	1606.8	1502.5	1485	1400.3	1483.2	1347.3
19179 "1416005_at"	989.3	1185.9	1252.4	1306.6	1250.7	1280.1
17242 "1416006_at"	6941.1	7961.7	7216.2	7313.9	6920.8	7539.9
20230 "1416007_at"	393.1	306	314.8	288.1	337.9	320.5
20230 "1416008_at"	196.3	205.2	241.9	246.5	271.9	233.4
56434 "1416009_at"	1975.2	1951.4	1865.9	2033	2023.5	2102.2
13660 "1416010_a_at"	295.7	333.3	327.3	353.3	412.9	369.7
13660 "1416011_x_at"	261	261.7	238	257.8	292	288.9
13660 "1416012_at"	72.6	45.4	42.3	55.1	76.3	58.3
18807 "1416013_at"	274.4	184.3	151.1	129.8	136.8	192
24015 "1416014_at"	598.3	676.8	629.8	689.9	639.8	619.8
24015 "1416015_s_at"	1172.4	1311.3	1199.8	1174.3	1074	1091.5
21354 "1416016_at"	12.6	1.3	15.4	9.7	21.9	13.5
54161 "1416017_at"	274.1	260	248	282.5	267.6	289.6
13486 "1416018_at"	375.9	434.4	493.7	492.9	540.4	496
13486 "1416019_at"	201.5	181.3	209.6	197.9	182.7	184.5
11951 "1416020_a_at"	1356.5	1786.7	1506	1496.1	1360.6	1499.5
16592 "1416021_a_at"	3746	4308	3922.7	4541.9	4599.4	5181.9
16592 "1416022_at"	1527.1	1777.1	1596.4	1987.9	1906.2	2081.4
14077 "1416023_at"	40.3	21.8	23.5	39.2	85.6	30.9
12462 "1416024_x_at"	3899	5045.7	4556.6	4407.2	4377.4	4562.8
99571 "1416025_at"	2.9	1	1.5	0.8	2.6	0.3
269261 "1416026_a_at"	5712.5	6848.8	5757.6	6029.1	6068.2	6071.2
18570 "1416027_at"	987.2	1002.2	926.6	949.8	896.7	1040.6
15374 "1416028_a_at"	1075.5	1291.8	1259.2	1231.3	1075.3	1213.3
21847 "1416029_at"	234	205.1	217.5	200.1	233	217.6
17220 "1416030_a_at"	1981.2	2183.1	1831.4	1858.4	1653.1	1995.6
17220 "1416031_s_at"	1347.7	1242.4	1365.2	1162.9	1137	1307.1
68539 "1416032_at"	461.6	120.1	116.9	122.4	162	139.7
68539 "1416033_at"	21.6	2	6.3	1.6	24.2	10.9
12484 "1416034_at"	3795.1	4046	3999.2	4278.5	4001.2	4320.2
15251 "1416035_at"	240.4	329.4	337.2	440.6	460.6	416.3
14225 "1416036_at"	1766.7	1636.6	1776.1	1629.3	1611.5	1766.8
12461 "1416037_a_at"	3746.2	4126.5	3689.8	3744.6	3523.7	3870.2
56463 "1416038_at"	343.8	351.9	270.8	320.8	271.1	272.3
16007 "1416039_x_at"	161.4	130	145.1	131.5	166.1	132.7
67717 "1416040_at"	0.5	0.9	1.1	0.9	0.4	0.9
20393 "1416041_at"	287.2	263.6	302.3	346.7	315.9	303.9
50927 "1416042_s_at"	1411.4	1930.3	1823.8	1699.2	1424.4	1716.8
50927 "1416043_at"	290.6	404.8	501.3	432.8	337.4	427.4
